propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,labels,parkingSpace.parkingSpacePrice,newDevelopmentFinished
100622911,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3b/f1/ce/1093799952.jpg,8228,49,4,270000.0,flat,sale,104.0,True,4,2,"Calle de la Duquesa de Villahermosa, 141",Zaragoza,Zaragoza,Pol Universidad Romareda,es,Pol Universidad Romareda,41.6445167,-0.9129688,True,https://www.idealista.com/inmueble/100622911/,2041,"This flat is at Calle de la Duquesa de Villahermosa, 141, 50009, Zaragoza, Zaragoza, is in the district of Bozada, on floor 4. It is a sunny flat, built in 1986, that has 104 m2 of which 90 m2 are useful and has 4 rooms and 2 bathrooms. It has disabled access, exterior, balcón, luminous, building with parking lot, aluminum windows, furnished, wardrobe, terrace, ascensor, private urbanization, south orientated, storage room included, good condition, north facing, terrazzo floor, community garden, calefacción central and garage included.",False,good,False,True,2596.0,True,True,False,False,False,False,True,True,flat,,"Pol Universidad Romareda, Zaragoza","Flat in Calle de la Duquesa de Villahermosa, 141",,,,
99888519,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/78/5d/a6/1059253649.jpg,ARF-11646,32,3,159900.0,flat,sale,97.0,True,3,1,Calle de Valimaña,Zaragoza,Zaragoza,Arrabal - Barrio Jesus,es,Barrio Jesús,41.6598457,-0.8698237,False,https://www.idealista.com/inmueble/99888519/,2015,"This flat is at Calle de Valimaña, 50014, Zaragoza, Zaragoza, is in the district of Barrio Jesús, on floor 3. It is a sunny flat that has 97 m2 of which 86 m2 are useful and has 3 rooms and 1 bathrooms. It includes furnished kitchen and besides, it includes central gas heating, building with parking lot, ascensor, west facing, tv antenna, storage room included, natural gas, trastero, calefacción central, exterior, terrace, east facing, garage included, equipped kitchen, concrete structure and luminous.",False,good,False,True,1648.0,True,True,False,False,False,False,True,True,flat,,"Barrio Jesús, Zaragoza",Flat in Calle de Valimaña,,,,
98407015,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/44/2d/90/1011165004.jpg,ARF-11586,41,bj,175000.0,flat,sale,136.0,True,3,2,Calle Río Jiloca,Zaragoza,Puebla de Alfindén,,es,,41.6320189,-0.7513812,False,https://www.idealista.com/inmueble/98407015/,11594,"This flat is at Calle Río Jiloca, 50171, La Puebla de Alfindén, Zaragoza, is in the district of La Puebla de Alfindén, on floor ground floor. It is a sunny flat that has 136 m2 of which 130 m2 are useful and has 3 rooms and 2 bathrooms. It has furnished kitchen and besides, it includes garage included, exterior, east facing, furnished, floating floor, good condition, tv antenna, terrace, concrete structure, west facing, stairs, individual natural gas heating, aire acondicionado, garage, individual heating, equipped kitchen, natural gas, ascensor, luminous, trastero and storage room included.",False,good,False,True,1287.0,True,True,False,False,False,False,True,True,flat,,Puebla de Alfindén,Flat in Calle Río Jiloca,,,,
97239273,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/40/87/f6/973272878.jpg,40383,26,4,183000.0,flat,sale,105.0,False,3,2,Calle de Luis Braille,Zaragoza,Zaragoza,Miraflores San Jose,es,La Granja,41.6424078,-0.8705162,False,https://www.idealista.com/inmueble/97239273/,1699,"This flat is at Calle de Luis Braille, 50013, Zaragoza, Zaragoza, is in the district of san jose, on floor 4. It is a flat, built in 1981, that has 105 m2 of which 96 m2 are useful and has 3 rooms and 2 bathrooms. It is interior property with east and north. Besides, it includes wardrobe, terrazzo floor, terraza, calefacción central and ascensor.",False,good,False,True,1743.0,True,True,False,False,False,False,True,True,flat,,"La Granja, Zaragoza",Flat in Calle de Luis Braille,,,,
100442415,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/db/da/70/1086485524.jpg,ARF-11665,33,2,105000.0,flat,sale,92.0,True,3,1,Calle de Gil Morlanes,Zaragoza,Zaragoza,Miraflores San Jose,es,La Granja,41.6377277,-0.8718462,False,https://www.idealista.com/inmueble/100442415/,1890,"This flat is at Calle de Gil Morlanes, 50008, Zaragoza, Zaragoza, is in the district of San José, on floor 2. It is a sunny flat, built in 1969, that has 92 m2 of which 82 m2 are useful and has 3 rooms and 1 bathrooms. Besides, it includes furnished kitchen and it includes aire acondicionado, individual natural gas heating, stairs, disabled access, individual heating, balcón, west facing, good condition, exterior, natural gas, concrete structure, east facing, tv antenna, equipped kitchen and luminous.",False,good,False,False,1141.0,True,True,False,False,False,False,,,flat,,"La Granja, Zaragoza",Flat in Calle de Gil Morlanes,,,,
100106353,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ff/98/4c/1069360592.jpg,4895,23,1,269900.0,flat,sale,120.0,True,3,2,Avenida de Pablo Gargallo,Zaragoza,Zaragoza,Almozara,es,Almozara,41.6630041,-0.9013,False,https://www.idealista.com/inmueble/100106353/,1875,"This flat is at Avenida de Pablo Gargallo, 50003, Zaragoza, Zaragoza, is in the district of 50003, on floor 1. It is a flat, built in 1989, that has 120 m2 of which 100 m2 are useful and has 3 rooms and 2 bathrooms. It includes furnished kitchen and it includes individual natural gas heating, good condition, exterior, wooden windows, disabled access, storage room included, smooth walls, west facing, terrace, wardrobe, security door, garage included, windows climalit, floating floor, ascensor and equipped kitchen.",False,good,False,True,2249.0,True,True,False,False,False,False,True,True,flat,,"Almozara, Zaragoza",Flat in Avenida de Pablo Gargallo,,,,
100762233,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/49/25/03/1098645671.jpg,ARF-11688,38,,169000.0,chalet,sale,151.0,False,4,4,Calle Río Aguas Vivas,Zaragoza,Maria de Huerva,,es,,41.5467003,-0.9967504,False,https://www.idealista.com/inmueble/100762233/,14459,"This villa is at Calle Río Aguas Vivas, 50430, María de Huerva, Zaragoza, at María de Huerva. It is a villa that has 151 m2 and has 4 rooms and 4 bathrooms.",False,good,False,,1119.0,True,True,False,False,False,False,True,True,chalet,independantHouse,Maria de Huerva,Detached house in Calle Río Aguas Vivas,,,,
97525562,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d8/93/8a/982177477.jpg,38197,30,1,140000.0,flat,sale,72.0,True,2,1,Calle Héroes del Silencio,Zaragoza,Zaragoza,Centro,es,Paseo Sagasta,41.6413806,-0.8847665,False,https://www.idealista.com/inmueble/97525562/,901,"This flat is at Calle Héroes del Silencio, 50008, Zaragoza, Zaragoza, is in the district of sagasta, on floor 1. It is a flat, built in 1995, that has 72 m2 of which 55 m2 are useful and has 2 rooms and 1 bathrooms.",False,good,False,True,1944.0,True,True,False,False,False,False,,,flat,,"Paseo Sagasta, Zaragoza",Flat in Calle Héroes del Silencio,,,,
99886667,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a1/1a/39/1083305926.jpg,f10,34,2,85500.0,flat,sale,60.0,True,1,1,Calle de Inglaterra,Zaragoza,Zaragoza,Delicias,es,Mercado San Valero,41.6518977,-0.9001865,False,https://www.idealista.com/inmueble/99886667/,983,"Buyer client exempt from additional fees. Charming exterior renovated house with 60 m2. It has 1 bedroom, 1 bathroom, living room and kitchen. Ready to move into. Ideal for investors. The house has an elevator, a 7 m2 storage room, and a kitchen equipped with all electrical appliances. The house is located in the Roma park area. A quiet area and very well connected with shops of all kinds, restaurants and public transport a few meters away. Call us and come see it. We find the financing you need.",True,good,False,True,1425.0,True,True,False,False,False,False,,,flat,,"Mercado San Valero, Zaragoza",Flat in Calle de Inglaterra,,,,
97706010,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3c/15/01/988900465.jpg,504648,28,,109000.0,flat,sale,62.0,False,2,1,Calle del Doctor Iranzo,Zaragoza,Zaragoza,Las Fuentes,es,Las Fuentes,41.6398647,-0.8642658,False,https://www.idealista.com/inmueble/97706010/,2290,"Housing located near the green lung of the Barrio de Las Fuentes, next to the Torre Ramona Park and next to the Calisthenics Park. Close to educational centers. It is surrounded by a wide range of shops. It has good communications with the Center. The building has an elevator. The apartment is exterior with unobstructed views. Its distribution is a living-dining room with access to the gallery, a spacious kitchen, 3 bedrooms and a bathroom. The property has heating. NO FEES OR COMMISSIONS ARE CHARGED TO THE BUYER.",False,good,False,,1758.0,True,True,True,False,False,False,,,flat,,"Las Fuentes, Zaragoza",Flat in Calle del Doctor Iranzo,,,,
100461123,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/34/1f/55/1087398199.jpg,f59,27,4,129000.0,flat,sale,47.0,True,1,1,Calle de Bernardo Fita,Zaragoza,Zaragoza,Centro,es,Doctor Cerrada,41.6447442,-0.8909744,False,https://www.idealista.com/inmueble/100461123/,479,"Buyer customer exempt from additional fees. Innova LM offers a 47-square-meter apartment for sale consisting of a double room, a bathroom and an outdoor kitchen-living room with a fully enclosed terrace. The house has two Splits with a hot and cold pump, one located in the living room and the other in the double room. The price includes a large garage space in the same building and with direct access to the house by elevator. We find the financing you need.",True,good,False,True,2745.0,True,True,False,False,False,False,True,True,flat,,"Doctor Cerrada, Zaragoza",Flat in Calle de Bernardo Fita,,"[{'name': 'apartamentoType', 'text': 'Apartment'}]",,
101066514,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ae/10/80/1108878241.jpg,505223,19,,205000.0,chalet,sale,199.0,False,3,2,Calle Río Aguas Vivas,Zaragoza,Maria de Huerva,,es,,41.5426292,-0.994229,False,https://www.idealista.com/inmueble/101066514/,14692,"Semi-detached house, for sale, in María de Huerva. Distributed on the ground floor, with a living room with access to the garden, kitchen and a toilet. On the first floor, 3 bedrooms with fitted wardrobes, two bathrooms, one of them, included in the main bedroom, suite type. Large attic, with high ceilings and access to the terrace. It has a cellar with fireplace, storage room and two parking spaces. Equipped with air conditioning and individual gas heating. In good condition. The community has common areas and swimming pool. Well located, less than 20 minutes from the center of Zaragoza. No expenses for the buyer, fees by the property.",False,good,False,,1030.0,True,True,False,False,False,False,,,chalet,,Maria de Huerva,House in Calle Río Aguas Vivas,,,,
88869622,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/80/45/2c/1074976763.jpg,238427,80,2,668000.0,flat,sale,260.0,True,4,3,Calle de Fray Luis Amigó no number,Zaragoza,Zaragoza,Ruiseñores,es,Ruiseñores,41.6361293,-0.8928469,True,https://www.idealista.com/inmueble/88869622/,1445,"Large Bright Apartment, in Private Urbanization Ruiseñores. Located on the prestigious Fray Luis Amigo street, equipped with services, sports areas and public transport, the apartment has a spacious hall and three double bedrooms and one simple, a large living room of 40 meters and a kitchen office of 30 meters, three rooms of full bathrooms. Upon entering you will perceive so much the feeling of spaciousness that transmit their large spaces as the warmth and light of an efficient distribution. Large terrace to share family moments, All this will make you enjoy a High Standing Home in a prestigious urbanization. This apartment is located in Fray Luis Amigo, 50006 Zaragoza on a second floor, It is very bright and sunny, built in 1982. It is an exterior property with South orientation, It has the fully equipped kitchen Design. The urbanization has a community area, swimming pool, garden, children's area, security. Two parking spaces and storage. We are with you in the most important Decision of Your Life, Call us to visit and call DonPiso from Mariano Barbasan Street No. 4 Tlf 876645373 (The indicated PVP does not include taxes or Writing expenses).",True,good,False,True,2569.0,True,True,True,False,False,False,True,True,flat,,"Ruiseñores, Zaragoza",Flat in Calle de Fray Luis Amigó no number,Featured,"[{'name': 'bright', 'text': 'Bright'}]",,
100242916,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5d/85/33/1074778628.jpg,505056,20,2,175000.0,duplex,sale,120.0,True,4,2,Avenida de Pastriz,Zaragoza,Puebla de Alfindén,,es,,41.6314265,-0.7571914,False,https://www.idealista.com/inmueble/100242916/,11129,"Duplex for sale in La Puebla de Alfindén, located near educational centers. Distributed on the ground floor, living room, separate kitchen with utility room, two bedrooms and a bathroom. On the upper floor, two bedrooms, bathroom and terrace. It has a garage and storage room on the farm, included in the price. The buyer must comply with the regulatory requirements subject to the acquisition of VPA. Professional fees by the owner.",False,good,False,True,1458.0,True,True,False,False,False,False,True,True,flat,duplex,Puebla de Alfindén,Duplex in Avenida de Pastriz,,,,
101173890,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1c/1d/20/1113220200.jpg,P2587,48,1,550000.0,flat,sale,225.0,True,4,3,"Via de la Hispanidad, 71",Zaragoza,Zaragoza,Casablanca,es,Casablanca,41.6432949,-0.9161547,True,https://www.idealista.com/inmueble/101173890/,2331,"HOUSE WITH LARGE TERRACES IN A RESIDENTIAL AREA. GARAGE AND STORAGE ROOM Well located on Vía Hispanidad, next to Gómez Laguna, in the ""Residencial Neptuno"" Urbanization before reaching Parque Hispanidad, an area of high residential interest due to its green areas, provision of services and proximity to several exits from the city, in addition to being well connected by several urban bus lines and slow transit routes. In a closed urbanization with swimming pool, gardens, sports areas and parking for visitors. Built in the year 2000 with quality materials both in installations and coverings, with a characteristic facing brick on all its facades. Housing on the first floor, in a low-rise building, with unobstructed views of the urbanization and the best orientation. Without recent reform but with an excellent distribution to adapt it to your tastes and needs; Rectangular in shape, wide spaces and cross ventilation to the rear. Interior useful area of 150 m2 plus 72 m2 on terraces (request sketch). Wooden floors, quality carpentry, fitted wardrobes, installation of air conditioning through ducts in operation. Individual gas heating. The price includes a double garage space and a storage room in the basement of the same building. For more information and visits, ALIERTA:.",False,good,False,True,2444.0,True,False,True,False,False,False,True,True,flat,,"Casablanca, Zaragoza","Flat in Via de la Hispanidad, 71",,,,
